,arm_name,testing,trial_index,depth,learning_rateG,learning_rateD,nchan,ndf,weight_decayD,weight_decayG,pixel_lambda,perc_lambda_1,perc_lambda_2,perc_lambda_3,perc_lambda_4,perc_lambda_5
3,1_0,0.500901043,1,2,0.001879723,0.000482102,55,102,0.040458322,0.144509679,443.1534981,0.005607289,0.001876506,0.505999834,0.004661277,0.229571552
47,7_0,0.534202312,7,3,0.001965157,0.000111605,38,117,0.022217877,0.01375092,1.726346242,0.012660413,0.987157553,3.526667009,0.027804065,2.546119276
48,8_0,0.560241367,8,3,0.00106045,0.001096911,38,97,0.242232114,0.078050871,7.093231538,0.0692557,0.096770309,0.096486723,0.007052235,0.154404556
39,4_0,0.572292528,4,4,0.000891249,0.007509359,36,116,0.23173946,0.015102275,1000.516803,0.001119338,0.66599436,0.004592165,2.785166408,0.151715939
38,44_0,0.57578461,44,4,0.002374987,0.006393861,62,115,0.025859841,0.011121445,1669.373824,0.001500401,3.345343455,0.458050959,0.045917066,3.263646226
15,2_0,0.649934459,2,2,0.000858651,0.000116602,43,111,0.01787324,0.111602659,242.0377869,0.015177651,0.003568785,1.170642936,0.00331551,0.052741665
4,12_0,0.677079087,12,3,0.000309884,0.001325249,35,80,0.163020309,0.157138818,148.2647306,0.001699901,0.046809628,0.599687951,4.600318941,0.00351236
21,28_0,0.698427168,28,3,0.001184465,0.004433703,64,84,0.115020735,0.056133367,95.10405717,0.001426096,0.765481667,0.518503758,0.144805536,0.92345639
0,0_0,0.733083859,0,3,0.000416621,0.001855047,39,82,0.014423839,0.04952854,142.5509746,0.003349235,0.0037924,0.053110638,0.269498014,0.168929842
1,10_0,0.791948336,10,3,0.000354844,0.000159889,41,71,0.114594288,0.367646731,1.545571448,0.277116609,0.003432627,2.501615264,0.522066915,0.200273418
49,9_0,4.410323238,9,3,0.000112664,0.001417564,54,113,0.298353437,0.223462261,1632.87608,0.207093752,0.198843553,1.905300477,0.001169216,0.012162896
